"locationid","name","locationtypeid","stateid","locationsize","establishmentdate","contactname","contactemail","contactphone"
1,"Jim Corbett National Park",1,5,500.25,"1936-07-01","Rahul Sharma","rahul.sharma@example.com","9876543290"
2,"Ranthambore National Park",1,21,450.5,"1955-03-01","Sonia Verma","sonia.verma@example.com","9765432109"
3,"Sundarbans Wildlife Sanctuary",2,19,300.75,"1973-12-04","Amit Roy","amit.roy@example.com","9654321098"
4,"Kanha National Park",1,13,420.3,"1955-06-01","Deepak Singh","deepak.singh@example.com","9543210987"
5,"Gir Forest National Park",1,7,350.2,"1965-05-01","Riya Patel","riya.patel@example.com","9432109876"
6,"Bandipur National Park",1,11,380.6,"1974-04-15","Kiran Kumar","kiran.kumar@example.com","9321098765"
7,"Kaziranga National Park",1,3,510.4,"1905-06-01","Devika Das","devika.das@example.com","9210987654"
8,"Periyar Wildlife Sanctuary",2,12,270.3,"1950-05-02","Vijay Nair","vijay.nair@example.com","9109876543"
9,"Nagarhole National Park",1,11,400.8,"1988-06-01","Anita Reddy","anita.reddy@example.com","9098765432"
10,"Hemis National Park",1,1,300.9,"1981-04-01","Akshay Singh","akshay.singh@example.com","9876543290"
11,"Kudremukh National Park",1,11,320.75,"1987-07-10","Suman Sharma","suman.sharma@example.com","9765432109"
12,"Indravati National Park",1,13,450.2,"1981-09-22","Rajesh Desai","rajesh.desai@example.com","9654321098"
13,"Sariska Tiger Reserve",1,21,280.5,"1955-11-01","Neha Yadav","neha.yadav@example.com","9543210987"
14,"Bharatpur Bird Sanctuary",2,21,200.25,"1976-02-10","Sandeep Verma","sandeep.verma@example.com","9432109876"
15,"Siliguri Mahananda Wildlife Sanctuary",2,20,320.8,"1980-08-15","Puja Das","puja.das@example.com","9321098765"
16,"Bannerghatta Biological Park",3,11,180.75,"2002-04-01","Amit Kumar","amit.kumar@example.com","9210987654"
17,"Kolleru Lake Bird Sanctuary",2,19,240.4,"1985-06-01","Anand Reddy","anand.reddy@example.com","9109876543"
18,"Manas National Park",1,3,390.3,"1990-05-15","Meena Devi","meena.devi@example.com","9098765432"
19,"Vedanthangal Bird Sanctuary",2,23,150.2,"1798-01-01","Ravi Shankar","ravi.shankar@example.com","9876543290"
20,"Simlipal National Park",1,19,420.6,"1986-07-01","Priyanka Mohanty","priyanka.mohanty@example.com","9765432109"
21,"Pench National Park",1,13,300.9,"1975-03-20","Rajat Singh","rajat.singh@example.com","9654321098"
22,"Sathyamangalam Wildlife Sanctuary",2,11,270.2,"1958-12-05","Smita Nair","smita.nair@example.com","9543210987"
